COIN,PRICE,CHG 24H,MKT CAP,FDV,VOL 24H,OPEN INTEREST,OI CHG 24H,OI CHG 24H,OI CHG 4H,OI CHG 4H,OI SHARE,OI / VOL24H,OI / MKTCAP,VOL24H / MKTCAP,FR AVG,PFR AVG,FR AVG OI_W,PFR AVG OI_W,LIQS. 24H,SHORT LIQS. 24H,LONG LIQS. 24H,LIQS. 24H / VOL 24H,LIQS. 24H / OI,NR CONTRS,L/S RATIO (1H),LONG (1H),SHORT (1H),L/S RATIO (1D),LONG (1D),SHORT (1D),BTC CORR. 30D,BTC CORR. 7D,ETH CORR. 30D,ETH CORR. 7D,CHART 24H,CHART 7D,CHART 30D,FUT / SPOT VOL RATIO >4 TRAP,BUYSELLVOL >0.2 PUMP,CORE TRIO 1 > 15,CORE TRIO 2 < -15,CORE TRIO 3 > 10,CVD DIV : DUMP=<-0.1 AND PUMP= >0.1,SPOT CVD SLOPE 25M,CVD SPOT LED DIVERG,DAILY SPOT ACCUMULATION,EXIT : LEVERAGE EXHAUSTION RATIO > 1.5,OI SCORE <0 = PUMP OVER,SPOT CVD DIVERGENCE LEAD>2,< -1 = PUMP OVER,EXPLOSIVE BREAKOUT >0.5 = BREAKOUT,FUNDING RATE ANOMALY,HEALTHY LEVERAGE GROWTH > 0.05,HOURLY BID-SIDE PRESSURE,HOURLY VOLUME PERSISTENCE,SPOT ACCUMULATION 12HR,HTF STEALTH ACCUMULATION BREAKOUT > 8,HTF VOLUME-WEIGHTED OI BREAKOUT,SPOT CVD ACCELERATION DOWN,LAYER 1:SUSTAINED OI GROWTH PT1 > 15,LAYER 1 STEALTH PT2 : OI GROWTH IN CONSOLIDATION > -5,LAYER 1:SUSTAINED OI GROWTH PT3 <5,LAYER 1 : SPOT CVD VS. PRICE DIVERGENCE >10,LAYER 2 BID-SIDE PRESSURE > 1.5,LAYER 2 : VOLUME PERSISTENCE PRE-BREAKOUT > 2,>+2 = LONG REVERSAL SOON,LTF MOMENTUM IGNITION,LTF MOMENTUM IGNITION SCORE > 3.5,NIHILUS 2> 1.4,NIHILUS 3> 2,NIHILUS VOL 1 > 2,OI PRICE CORR( +VE = PUMP),OI FUEL 1HR CHANGE,"OI FUEL ≥2.2 =EXPLOSION ,1.4–2.1=TREND , <1.4 SKIP",OI MULTI-TF SCORE,OI UNWIND : > 0= CASCADE DUMP STARTING,PRED FR CHANGE 1HR,PRICE CHG 15 M,SPOT-LED COMMITMENT SCORE >2,SPOT VOLUME EXPANSION,STEALTH ACCUM >5,OI CHANGE 20H > 10,PRICE CHANGE 20H < 0.05,STEALTH OI ACCUM>4,SUSTAINED OI GROWTH,SELL DOM >0.55,VOL SPIKE > 500
Chill guy CHILLGUY,$0.04,'+6.75%,$41.9m,n/a,$7.9m,$15.0m,'+9.85%,$1.3m,'+1.80%,$264.7k,0.12%,1.900,0.357,0.188,'+0.0365%,'+0.0220%,'+0.0385%,'+0.0198%,$12.0k,$10.9k,$1.1k,0.0015,0.0008,6,2.27,69.41%,30.59%,2.41,70.65%,29.36%,'+0.58,'+0.81,'+0.90,'+0.86,,,,11.0766,-0.8387,1.0128k,95.5360,5.4305,0.0090,25.0822,10.1403,-85.6665,-13.7809,0.7386,-13.0145,-22.4106,-87.4027,0.0494,-0.5494,0.9539,1.4245,1.0128k,800.9802,-0.6622,-37.5738,15.4818,10.0402,10.0402,-86.1835,0.9539,1.2306,1.2935,21.4965,1.0467,-3.2646,-1.1395,0.4700,-0.2849,-0.5494,-3.2646,0.3128,-0.1501,-40.8714,-0.4344,-1.1395,0.9013,-1.1031,8.5211,0.0693,-6.5494,4.4124,0.5376,6.4188
Sapien SAPIEN,$0.18,'+2.08%,$44.5m,n/a,$9.7m,$3.5m,-5.82%,$-218.1k,-7.84%,$-300.3k,0.03%,0.366,0.079,0.217,'+0.0067%,'+0.0075%,'+0.0070%,'+0.0070%,$18.4k,$15.8k,$2.6k,0.0019,0.0052,5,1.01,50.25%,49.76%,0.97,49.27%,50.73%,'+0.52,-0.67,'+0.65,-0.65,,,,3.5163,-0.2407,975.0785,-100.0000,2.5993,0.0006,11.0698,102.9644,-38.1522,32.3939,0.4039,3.3737,-99.1814,-74.9885,0.0067,-0.5686,0.8943,1.5402,975.0785,89.5080,-0.3942,48.7723,-37.6042,-17.3595,-17.3595,-73.0235,0.8943,0.6727,0.9779,-53.9336,-0.1581,-39.7743,0.8082,0.3085,-2.8482,-0.5686,-39.7743,-2.7186,1.3189,0.0000,-1.5497,0.8082,0.3771,-0.7361,-3.0660,0.1383,-6.5686,-12.9324,0.5806,115.8549
Bedrock BR,$0.08,'+2.40%,$17.1m,n/a,$3.2m,$2.2m,-1.11%,$-24.3k,'+0.09%,$2.0k,0.02%,0.682,0.127,0.186,'+0.0075%,'+0.0075%,'+0.0071%,'+0.0071%,$4.3k,$1.4k,$2.9k,0.0014,0.0020,3,2.50,71.45%,28.55%,2.66,72.71%,27.29%,'+0.49,-0.48,'+0.39,-0.41,,,,7.8173,0.5939,948.7291,19.6788,5.0161,0.0128,69.4954,27.1929,-51.9930,-4.6300,-0.3711,57.5862,30.0090,415.9330,0.0075,1.3266,0.9607,0.6963,948.7291,129.1512,2.5219,81.9691,-16.4795,5.5619,5.5619,-72.8416,0.9607,2.0893,-1.7109,-0.3633,0.2127,-3.5642,6.7527,0.5984,-0.7334,1.3266,-3.5642,0.3073,0.3068,0.0000,-0.4279,6.7527,0.1157,1.1789,4.5883,0.0661,-4.6734,-14.8970,0.4747,-71.6370
LayerZero ZRO,$2.30,'+11.50%,$255.5m,n/a,$146.9m,$68.1m,'+9.97%,$6.2m,-3.68%,$-2.6m,0.56%,0.464,0.267,0.575,'+0.0273%,'+0.0262%,'+0.0284%,'+0.0284%,$93.0k,$78.7k,$14.2k,0.0006,0.0014,10,1.87,65.15%,34.85%,1.89,65.41%,34.59%,-0.05,-0.35,-0.43,-0.21,,,,4.4958,1.2858,870.9012,331.0200,-1.1719,0.0004,99.9998,18.2188,-79.7391,6.7452,0.4936,54.5954,36.8768,204.7358,0.0175,-0.6650,1.0251,0.8381,870.9012,1.5601k,-0.5600,45.0630,56.5434,11.1583,11.1583,-78.6162,1.0251,0.8291,1.1652,25.1314,1.6824,3.1285,9.2157,1.0667,0.4255,-0.6650,3.1285,-1.4293,-0.1424,-29.4457,0.2827,9.2157,2.2332,-0.9152,8.2186,0.1393,-6.6650,10.2252,0.4575,26.2208
Skycoin SKY,$0.07,-2.60%,n/a,n/a,$34.8m,$28.7m,'+3.90%,$1.1m,-0.19%,$-54.6k,0.24%,0.827,n/a,n/a,'+0.0070%,'+0.0083%,'+0.0074%,'+0.0076%,$26.4k,$19.0k,$7.4k,0.0008,0.0009,8,1.29,56.41%,43.59%,1.49,59.76%,40.24%,'+0.48,'+0.77,'+0.83,'+0.79,,,,1.4994,2.1694,859.6417,n/a,-1.3176,0.0002,99.9990,-16.1467,-100.0000,-3.0033,0.4552,18.2828,34.8911,4.2890k,0.0075,-0.6423,1.3162,0.6055,859.6417,321.7476,-0.8753,12.3204,-1.8230,3.2922,3.2922,-100.0000,1.3162,1.4142,1.1039,2.8632,0.7058,-0.6878,16.8088,0.2505,-0.6006,-0.6423,-0.6878,-0.5775,0.3020,0.0000,-0.2995,16.8088,0.2842,-0.8553,3.4532,0.0335,-6.6423,7.8695,0.4711,-34.7141
Mubarak MUBARAK,$0.03,'+3.17%,$31.0m,$31.0m,$10.9m,$8.4m,'+4.15%,$335.1k,-3.36%,$-292.2k,0.07%,0.770,0.271,0.351,'+0.1490%,'+0.1697%,'+0.0067%,'+0.0068%,$17.6k,$4.2k,$13.4k,0.0016,0.0021,7,2.77,73.50%,26.51%,2.62,72.41%,27.59%,'+0.63,'+0.18,'+0.45,'+0.29,,,,4.2326,-2.8650,763.0974,-100.0000,0.5138,0.0009,21.6755,88.8736,-72.1724,1.2387k,1.5164,-9.5812,-96.9097,-128.3739,0.0849,-2.8814,0.9401,2.1777,763.0974,467.8787,-4.0638,-6.7433,-7.9242,-4.8913,-4.8913,-88.4134,0.9401,1.4707,4.4266,399.4325,0.9200,190.1807,-2.9272,0.1569,-1.6303,-2.8814,190.1807,-2.5747,1.0683,-41.9308,-0.5680,-2.9272,2.9649,-5.2689,3.7522,0.0598,6.1186,-0.8883,0.5843,-4.8095
Holo HOT,$0.00,'+4.04%,$161.3m,n/a,$3.2m,$4.1m,'+4.56%,$178.4k,'+1.04%,$42.1k,0.03%,1.270,0.025,0.020,0.00%,0.00%,'+0.0100%,'+0.0100%,$4.6k,$1.2k,$3.4k,0.0014,0.0011,4,2.05,67.22%,32.78%,2.03,67.04%,32.96%,'+0.53,'+0.73,'+0.90,'+0.81,,,,10.2847,0.0676,721.9028,-98.1314,0.6839,-0.0060,87.5309,n/a,-84.8973,-0.0205,0.1912,23.8317,n/a,1.5357k,0.0001,0.0995,0.9673,1.0266,721.9028,78.1815,0.1877,30.4350,13.6807,5.0381,5.0381,-88.5639,0.9673,2.0707,0.0907,-2.3185,2.2754,-0.8778,3.5229,0.5107,0.1924,0.0995,-0.8778,0.5024,-0.1740,73.0927,0.0183,3.5229,0.3256,0.0633,4.8208,0.0337,-5.9005,9.8199,0.5000,106.5183
CUDIS CUDIS,$0.06,'+4.90%,$14.1m,n/a,$8.0m,$3.1m,'+11.29%,$317.8k,'+0.65%,$20.1k,0.03%,0.393,0.221,0.563,'+0.0067%,'+0.0075%,'+0.0072%,'+0.0072%,$19.2k,$5.9k,$13.3k,0.0024,0.0061,4,1.59,61.41%,38.59%,1.50,60.01%,39.99%,'+0.41,-0.67,'+0.63,-0.74,,,,18.2517,-2.3885,664.3019,-100.0000,6.0029,0.0072,43.4370,97.3605,-65.6149,7.2431,3.5128,0.9245,-92.8720,402.8749,0.0068,-5.0675,0.9122,3.2413,664.3019,935.1210,-9.6628,-36.6393,32.8024,-36.3380,-36.3380,-97.3084,0.9122,2.0970,8.6315,-0.1851,1.6651,-9.7146,0.0923,0.1612,-3.9060,-5.0675,-9.7146,-3.6144,2.4105,0.0000,-1.5325,0.0923,3.3461,-17.7696,8.5957,0.0931,-2.0675,-5.5937,0.5555,-83.8501
Delysium AGI,$0.05,'+2.95%,$91.1m,n/a,$428.8k,$2.0m,'+6.33%,$120.7k,'+1.62%,$32.4k,0.02%,4.730,0.022,0.005,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,2,2.43,70.84%,29.16%,2.87,74.17%,25.83%,'+0.53,'+0.83,'+0.69,'+0.84,,,,0.5325,-0.0147,640.6276,-45.2973,5.1744,-0.0004,22.5511,-9.3950,297.9350,1.7785,0.2588,-9.5853,0.0718,-447.5194,0.0100,-0.3344,1.0394,1.7952,640.6276,70.5789,-0.1989,-12.9263,6.2116,6.1984,6.1984,-19.9279,1.0394,0.5717,0.5965,-13.6592,0.8979,-13.3247,-9.0391,0.5774,0.5272,-0.3344,-13.3247,0.4309,-0.2960,0.0000,0.2305,-9.0391,3.0087,-0.4031,6.5881,0.0464,-6.3344,0.1408,0.5318,-19.3343
Walrus WAL,$0.41,'+2.57%,$607.3m,n/a,$8.5m,$9.9m,'+1.14%,$111.9k,-3.23%,$-330.8k,0.08%,1.159,0.016,0.014,'+0.0067%,'+0.0075%,'+0.0075%,'+0.0076%,$43.10,$43.10,$n/a,0.0000,0.0000,5,1.42,58.74%,41.26%,1.48,59.75%,40.25%,'+0.48,'+0.90,'+0.86,'+0.95,,,,5.3090,0.3039,587.3408,-44.2346,-4.0041,0.0002,67.9346,-8.7524,11.7778,0.0000,0.5118,-3.2616,6.0117,1.2088k,0.0067,-0.9121,0.9584,3.4573,587.3408,686.4596,-0.8913,-119.3844,9.8717,6.8371,6.8371,187.0590,0.9584,0.9749,1.4331,-7.0074,0.8356,-10.3423,-0.8811,0.7001,-0.1045,-0.9121,-10.3423,-0.5822,0.1045,0.0000,0.0000,-0.8811,0.7585,-1.1835,-1.4317,0.0285,-6.9121,2.1022,0.4116,65.1571
ApeX Protocol APEX,$1.84,'+12.25%,$248.8m,n/a,$101.1m,$63.2m,'+22.08%,$11.4m,'+13.75%,$7.6m,0.52%,0.625,0.254,0.407,'+0.1151%,'+0.0228%,'+0.1242%,'+0.0214%,$322.3k,$203.9k,$118.4k,0.0032,0.0051,2,2.22,68.93%,31.07%,2.26,69.33%,30.67%,-0.18,'+0.11,-0.56,'+0.28,,,,1.2122,-0.3255,583.2536,-0.1813,21.3515,0.0001,99.9997,22.4776,2.9913,19.9569,1.8110,15.0449,-5.5874,118.2716,0.0230,-3.1999,1.0639,1.9208,583.2536,593.6056,-4.3579,-18.4825,n/a,543.9041,543.9041,156.7997,1.0639,1.4130,5.0452,3.0656,1.6235,-54.0605,14.0644,n/a,0.6113,-3.1999,-54.0605,2.8015,-0.3725,-85.7457,0.2379,14.0644,1.5607,-6.6048,20.7592,0.1846,5.8001,66.5562,0.4891,-34.9764
DigiByte DGB,$0.01,'+7.64%,$148.1m,$148.2m,$643.6k,$791.7k,'+18.93%,$126.0k,-0.33%,$-2.6k,0.01%,1.230,0.005,0.004,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$3.1k,$3.1k,$10.00,0.0049,0.0039,2,1.32,56.94%,43.06%,1.36,57.69%,42.31%,'+0.48,'+0.88,'+0.86,'+0.90,,,,1.1788,0.1903,577.7893,32.5157,12.2638,-0.0090,2.9453,-22.6817,-57.2842,-4.1207,0.5614,-18.0007,5.2537,-301.0354,0.0100,-1.1085,1.2484,1.0040,577.7893,327.7167,-1.4045,-17.0705,6.8734,10.5758,10.5758,-67.5157,1.2484,1.3019,1.6810,93.3865,0.3657,58.4905,-13.7576,1.0611,-0.1327,-1.1085,58.4905,-0.0133,-0.4801,0.0000,-0.6099,-13.7576,0.8271,-1.4363,11.2809,0.0690,-7.1085,8.5557,0.4220,-93.8519
Scallop SCA,$0.10,'+0.08%,$13.0m,n/a,$138.2k,$414.6k,'+0.28%,$1.1k,-0.98%,$-4.1k,0%,3.000,0.032,0.011,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$0.00,$n/a,$n/a,0.0000,0.0000,2,1.68,62.66%,37.34%,1.60,61.60%,38.40%,'+0.34,'+0.54,'+0.46,'+0.68,,,,1.4483,-1.7918,572.0115,n/a,-0.4553,0.0077,50.4517,4.9983,37.0568,1.5433,0.3625,-5.3140,-9.9379,771.0284,0.0100,-1.1891,1.0671,0.5236,572.0115,433.2572,-1.4286,-14.8960,-3.9547,8.7811,8.7811,62.2574,1.0671,1.2265,1.5634,12.3640,1.3558,78.6232,-3.6596,0.1945,0.1700,-1.1891,78.6232,-0.4456,-0.0136,0.0000,0.1564,-3.6596,1.4486,-1.3292,1.6634,0.0201,-7.1891,-3.7687,0.5682,-62.4712
Iota IOTA,$0.18,'+4.75%,$740.6m,n/a,$14.0m,$19.2m,'+7.99%,$1.4m,'+1.97%,$370.8k,0.16%,1.372,0.026,0.019,'+0.0237%,'+0.5075%,'+0.0101%,'+0.0136%,$8.2k,$6.6k,$1.6k,0.0006,0.0004,8,2.57,72.01%,27.99%,2.79,73.62%,26.39%,'+0.52,'+0.85,'+0.91,'+0.88,,,,8.5958,-1.7966,571.9589,-100.0000,3.8130,0.0045,99.9940,132.7477,210.4219,-0.2310,0.2373,32.9578,-99.5797,1.2053k,0.0965,2.7324,0.9023,1.3151,571.9589,96.0926,4.8299,48.1175,10.7653,7.4547,7.4547,n/a,0.9023,1.9147,-2.5222,36.8683,2.1363,15.2344,7.9327,0.6428,2.7296,2.7324,15.2344,1.9418,-2.7673,1.7735k,-0.0368,7.9327,1.4483,2.6882,6.9047,0.0463,-3.2676,3.8243,0.5581,15.0954
Coti COTI,$0.05,'+3.12%,$110.5m,n/a,$3.3m,$7.4m,'+3.06%,$218.7k,-0.68%,$-50.3k,0.06%,2.242,0.067,0.030,'+0.0530%,'+0.0418%,'+0.0123%,'+0.0117%,$2.4k,$2.3k,$71.20,0.0007,0.0003,5,2.87,74.13%,25.87%,2.97,74.84%,25.16%,'+0.58,'+0.60,'+0.90,'+0.66,,,,9.1203,-1.8978,565.3420,-100.0000,1.9180,0.0113,99.9757,109.2426,153.0887,-20.2828,0.8309,10.0689,-98.3473,123.2417,-0.0971,0.4578,0.9231,1.1358,565.3420,1.1422k,0.8363,9.3087,9.0651,-0.4524,-0.4524,-50.1584,0.9231,1.9917,0.3686,78.4379,2.5779,25.2355,2.8260,0.2522,-0.5734,0.4578,25.2355,-0.4096,0.3099,-15.8038,-0.2643,2.8260,0.6776,-0.2251,4.2996,0.0341,-5.5422,-1.4509,0.5538,-11.3522
DODO DODO,$0.05,'+4.36%,$46.4m,n/a,$223.6k,$905.0k,-0.32%,$-2.9k,-2.05%,$-18.9k,0.01%,4.047,0.020,0.005,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$7.30,$7.30,$n/a,0.0000,0.0000,2,3.28,76.63%,23.37%,2.95,74.71%,25.29%,'+0.68,'+0.68,'+0.84,'+0.79,,,,0.2461,-1.1428,554.1597,2.0810k,-2.2350,0.0506,22.8940,-9.2831,-38.8890,0.0000,0.5247,-17.2678,-7.4396,-317.6439,0.0100,-2.0446,1.1377,0.8734,554.1597,224.5684,-2.2924,-37.0433,1.6021,5.4636,5.4636,-57.8376,1.1377,1.1351,2.5897,13.6292,0.4944,3.2050,-39.7443,0.4406,-0.2043,-2.0446,3.2050,-1.6562,0.2043,0.0000,0.0000,-39.7443,1.4156,-2.3418,-0.7624,0.0472,-8.0446,-3.1561,0.4903,-96.7590
MOG Coin MOG,$0.00,'+18.51%,$331.8m,n/a,$15.6m,$783.4k,'+50.03%,$261.2k,-9.69%,$-84.1k,0.01%,0.050,0.002,0.047,'+0.2728%,-0.10%,'+0.0585%,-0.10%,$107.4k,$55.7k,$51.7k,0.0069,0.1370,4,n/a,n/a%,n/a%,n/a,n/a%,n/a%,'+0.59,'+0.88,'+0.94,'+0.90,,,,5.5955,-0.1567,539.7433,122.1346,50.3720,-0.0009,16.1429,-9.7072,-32.2591,42.2936,1.1990,-18.4701,-7.6017,'-98.0088k,0.3045,3.6890,0.9716,2.0430,539.7433,-40.9939,2.9217,-242.9374,47.6442,22.2920,22.2920,-65.3606,0.9716,0.7759,-2.5277,17.2561,3.0187,-121.8118,-4.9244,5.2930,9.9243,3.6890,-121.8118,6.7704,-8.3668,-118.0912,1.4524,-4.9244,1.4454,2.3404,53.4433,0.1839,12.6890,29.2569,0.4719,192.1621
SATS (Ordinals) SATS,$0.00,'+1.29%,$81.6m,n/a,$20.6m,$9.6m,'+0.92%,$87.6k,-0.76%,$-73.8k,0.08%,0.467,0.118,0.252,'+0.0051%,-0.03%,'+0.0099%,-0.03%,$8.6k,$5.1k,$3.5k,0.0004,0.0009,5,n/a,n/a%,n/a%,n/a,n/a%,n/a%,'+0.11,-0.55,'+0.07,-0.46,,,,29.2154,-1.1717,534.7275,-100.0000,-0.9784,0.0050,99.9826,125.3541,-55.4554,-5.4336,1.4398,26.8181,-97.0719,22.9321m,-0.0027,-2.3990,0.9542,1.0509,534.7275,208.3704,-4.1238,'-1.0385k,48.0042,14.2435,14.2435,-94.5325,0.9542,1.8521,3.8630,31.0341,0.9254,19.1936,1.0111,0.2320,-1.0231,-2.3990,19.1936,-1.4835,0.5144,176.9642,-0.5141,1.0111,3.9813,-4.5424,-2.6073,0.0283,6.6010,-0.7846,0.5167,-46.2580
Echelon Prime PRIME,$1.62,-0.76%,$89.1m,$180.0m,$436.3k,$1.1m,-11.10%,$-140.1k,-0.64%,$-7.2k,0.01%,2.572,0.013,0.005,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$26.30,$n/a,$26.30,0.0001,0.0000,3,2.16,68.38%,31.62%,2.15,68.22%,31.78%,'+0.41,-0.17,'+0.87,'+0.00,,,,0.4444,-2.4050,495.1979,-97.5999,-5.9233,0.0099,99.9982,298.7388,402.4818,-4.4295,-0.9216,198.9111,-100.7411,2.5633k,0.0100,-0.8086,0.8248,1.3778,495.1979,356.9136,-2.5717,449.3618,-11.2647,-7.4800,-7.4800,-52.7433,0.8248,4.0675,-0.1048,5.2655,0.0522,-1.9668,725.4392,0.4471,-0.6378,-0.8086,-1.9668,-0.2760,0.3517,0.0000,-0.2872,725.4392,2.5877,-1.6430,-6.8465,0.0143,-6.8086,-9.5744,0.6184,-90.0930
Prometeus PROM,$9.78,'+0.66%,$178.4m,n/a,$3.6m,$11.1m,'+0.49%,$53.5k,-0.21%,$-23.8k,0.09%,3.064,0.062,0.020,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$8.9k,$3.8k,$5.1k,0.0025,0.0008,3,0.92,47.92%,52.08%,0.91,47.58%,52.42%,'+0.36,-0.19,'+0.00,-0.03,,,,0.9754,0.3246,488.4982,179.4372,-0.7371,0.0066,97.6544,3.2586,12.4418k,-1.7217,0.1103,6.4206,3.2744,-58.8156,0.0100,-0.2113,0.8476,0.6328,488.4982,246.2055,-0.0968,27.0812,6.7567,1.9462,1.9462,28.9405,0.8476,0.4348,0.3236,-3.3683,1.1848,-7.8219,3.1496,0.0907,-0.2960,-0.2113,-7.8219,-0.5318,0.1499,0.0000,-0.1464,3.1496,3.9645,-0.2239,-0.1449,0.0326,-6.2113,4.0393,0.5169,-22.6011
Flamingo FLM,$0.03,'+3.49%,$14.9m,$14.9m,$4.0m,$4.3m,'+4.02%,$164.1k,'+0.75%,$31.7k,0.03%,1.055,0.285,0.270,'+0.0110%,'+0.0014%,'+0.0087%,'+0.0099%,$11.1k,$5.3k,$5.8k,0.0028,0.0026,5,3.34,76.95%,23.05%,3.34,76.95%,23.05%,'+0.66,'+0.38,'+0.87,'+0.42,,,,12.3346,-0.4297,463.7513,-100.0000,0.2005,0.0275,43.4680,n/a,-100.0000,-0.9156,0.1763,n/a,-99.6644,'-1.6817k,0.0786,0.8489,0.8556,1.0909,463.7513,-78.0374,1.6703,n/a,10.1868,-5.0962,-5.0962,-100.0000,0.8556,2.1783,-0.6811,-27.1539,2.6854,-23.9161,n/a,0.1534,0.0739,0.8489,-23.9161,0.8944,-0.1674,-92.2613,-0.0933,n/a,0.6975,0.8208,2.5663,0.0343,-5.1511,6.5114,0.5377,9.9437
BNB BNB,"$1,057.48",'+3.26%,$146.8b,n/a,$1.5b,$1.3b,'+7.61%,$90.0m,'+3.45%,$42.5m,10.43%,0.844,0.009,0.010,'+0.0001%,'+0.0096%,'+0.0019%,'+0.0032%,$1.9m,$1.7m,$180.6k,0.0013,0.0015,18,2.26,69.28%,30.72%,2.43,70.88%,29.13%,'+0.43,'+0.91,-0.16,'+0.93,,,,4.5648,-1.0525,459.6672,67.5535,5.0881,0.0000,75.8593,14.2968,24.5569,0.0028,0.2929,-8.5453,-22.5460,763.3037,-0.0008,-0.3081,1.1116,2.2452,459.6672,1.2495k,-0.4574,-122.4556,-2.2084,4.0214,4.0214,68.2200,1.1116,1.5605,0.6041,12.5026,0.8069,13.3890,-3.3247,0.5828,0.1564,-0.3081,13.3890,0.7577,-0.1130,55.6529,0.0433,-3.3247,1.3879,-0.3957,7.5568,0.0392,-6.3081,1.5931,0.4768,8.8861
Moonriver MOVR,$5.68,'+3.30%,$57.0m,n/a,$1.6m,$3.5m,'+4.41%,$149.6k,'+1.21%,$42.2k,0.03%,2.231,0.062,0.028,'+0.0529%,'+0.0580%,'+0.0119%,'+0.0121%,$314.70,$291.80,$22.90,0.0002,0.0001,4,2.08,67.59%,32.42%,2.17,68.47%,31.53%,'+0.43,'+0.64,'+0.82,'+0.71,,,,1.5785,-1.5171,444.6579,-62.6921,0.6931,0.0000,56.9753,27.2087,-8.2456,-5.2512,0.5514,-11.8460,-38.4955,831.6099,0.0638,-0.7835,1.0470,1.0575,444.6579,655.0460,-1.0451,-92.6261,-3.8935,4.0889,4.0889,-36.1770,1.0470,1.3799,1.3428,2.0546,1.0804,-24.0748,-10.6798,0.2963,-0.2168,-0.7835,-24.0748,0.1179,0.1305,0.0000,-0.0864,-10.6798,0.7464,-1.0963,4.0991,0.0369,-6.7835,-2.3978,0.4944,-16.1092
Puffer PUFFER,$0.18,'+3.88%,$36.5m,n/a,$1.5m,$5.2m,'+4.12%,$205.4k,-0.83%,$-43.7k,0.04%,3.427,0.142,0.042,'+0.0075%,'+0.0075%,'+0.0085%,'+0.0085%,$654.30,$654.30,$n/a,0.0004,0.0001,4,2.28,69.52%,30.49%,2.22,68.91%,31.09%,'+0.32,'+0.01,'+0.80,-0.01,,,,3.6119,-2.7257,440.5926,-100.0000,0.2959,0.0263,53.9120,89.3241,-59.2183,0.9055,0.3820,-10.2831,-99.2143,-6.4473,0.0075,-1.0752,0.6857,1.2413,440.5926,4.1246k,-1.1857,-17.4235,-2.0813,-1.1202,-1.1202,-19.8846,0.6857,1.1142,1.4681,118.7022,0.4771,75.3036,-2.9020,0.4986,0.1064,-1.0752,75.3036,-0.6638,0.0127,0.0000,0.1192,-2.9020,1.6722,-1.2296,3.3869,0.0516,-7.0752,-4.5902,0.6754,-49.7883
Kinto K,$0.13,'+5.52%,$96.4k,n/a,$1.7m,$1.4m,'+8.33%,$110.4k,-3.99%,$-59.8k,0.01%,0.824,14.895,18.074,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$541.60,$463.70,$77.90,0.0003,0.0004,2,1.17,53.93%,46.07%,1.13,52.99%,47.01%,'+0.42,'+0.10,'+0.75,'+0.25,,,,5.0731,-0.9970,432.7447,257.7855,-0.9877,0.0072,99.9514,45.7379,161.8490,2.4654,1.9248,7.8293,-35.9893,51.5816,0.0100,0.5606,1.0414,6.9549,432.7447,426.1252,0.7680,-4.0167,-5.1797,-19.3299,-19.3299,-1.2275,1.0414,1.4227,1.3587,0.2229,0.7313,-3.2961,7.5592,0.6891,1.2326,0.5606,-3.2961,-1.2162,-0.7883,0.0000,0.4409,7.5592,0.4147,-3.1232,1.8836,0.0816,9.5606,7.4827,0.5535,-46.9705
Tranchess CHESS,$0.06,'+2.61%,$12.9m,n/a,$2.1m,$4.1m,'+0.51%,$20.6k,'+1.41%,$56.5k,0.03%,1.943,0.314,0.162,'+0.0075%,'+0.0075%,'+0.0066%,'+0.0066%,$514.50,$131.10,$383.40,0.0002,0.0001,3,3.40,77.29%,22.71%,3.45,77.52%,22.48%,'+0.38,'+0.28,'+0.86,'+0.42,,,,9.8297,1.3597,431.6136,-64.7373,-0.3426,-0.0233,31.8952,-72.5862,-83.7494,0.5310,-0.0555,0.5049,73.0381,1.6925k,0.0075,-0.2468,1.0241,1.4506,431.6136,408.7183,-0.2595,-5.1071,-2.1158,-0.2377,-0.2377,-94.8874,1.0241,1.0569,0.1939,17.2641,1.1173,65.5632,0.2625,0.1828,0.0419,-0.2468,65.5632,0.1445,0.0269,0.0000,0.0689,0.2625,0.5450,-0.2497,0.4878,0.0272,-6.2468,0.3895,0.4223,-50.4967
