COIN,PRICE,CHG 24H,MKT CAP,FDV,VOL 24H,OPEN INTEREST,OI CHG 24H,OI CHG 24H,OI CHG 4H,OI CHG 4H,OI SHARE,OI / VOL24H,OI / MKTCAP,VOL24H / MKTCAP,FR AVG,PFR AVG,FR AVG OI_W,PFR AVG OI_W,LIQS. 24H,SHORT LIQS. 24H,LONG LIQS. 24H,LIQS. 24H / VOL 24H,LIQS. 24H / OI,NR CONTRS,L/S RATIO (1H),LONG (1H),SHORT (1H),L/S RATIO (1D),LONG (1D),SHORT (1D),BTC CORR. 30D,BTC CORR. 7D,ETH CORR. 30D,ETH CORR. 7D,CHART 24H,CHART 7D,CHART 30D,FUT / SPOT VOL RATIO >4 TRAP,BUYSELLVOL >0.2 PUMP,CORE TRIO 1 > 15,CORE TRIO 2 < -15,CORE TRIO 3 > 10,CVD DIV : DUMP=<-0.1 AND PUMP= >0.1,SPOT CVD SLOPE 25M,CVD SPOT LED DIVERG,DAILY SPOT ACCUMULATION,EXIT : LEVERAGE EXHAUSTION RATIO > 1.5,OI SCORE <0 = PUMP OVER,SPOT CVD DIVERGENCE LEAD>2,< -1 = PUMP OVER,EXPLOSIVE BREAKOUT >0.5 = BREAKOUT,FUNDING RATE ANOMALY,HEALTHY LEVERAGE GROWTH > 0.05,HOURLY BID-SIDE PRESSURE,HOURLY VOLUME PERSISTENCE,SPOT ACCUMULATION 12HR,HTF STEALTH ACCUMULATION BREAKOUT > 8,HTF VOLUME-WEIGHTED OI BREAKOUT,SPOT CVD ACCELERATION DOWN,LAYER 1:SUSTAINED OI GROWTH PT1 > 15,LAYER 1 STEALTH PT2 : OI GROWTH IN CONSOLIDATION > -5,LAYER 1:SUSTAINED OI GROWTH PT3 <5,LAYER 1 : SPOT CVD VS. PRICE DIVERGENCE >10,LAYER 2 BID-SIDE PRESSURE > 1.5,LAYER 2 : VOLUME PERSISTENCE PRE-BREAKOUT > 2,>+2 = LONG REVERSAL SOON,LTF MOMENTUM IGNITION,LTF MOMENTUM IGNITION SCORE > 3.5,NIHILUS 2> 1.4,NIHILUS 3> 2,NIHILUS VOL 1 > 2,OI PRICE CORR( +VE = PUMP),OI FUEL 1HR CHANGE,"OI FUEL ≥2.2 =EXPLOSION ,1.4–2.1=TREND , <1.4 SKIP",OI MULTI-TF SCORE,OI UNWIND : > 0= CASCADE DUMP STARTING,PRED FR CHANGE 1HR,PRICE CHG 15 M,SPOT-LED COMMITMENT SCORE >2,SPOT VOLUME EXPANSION,STEALTH ACCUM >5,OI CHANGE 20H > 10,PRICE CHANGE 20H < 0.05,STEALTH OI ACCUM>4,SUSTAINED OI GROWTH,SELL DOM >0.55,VOL SPIKE > 500
USD Coin USDC,$1.00,-0.01%,$74.1b,n/a,$15.8m,$11.6m,-9.35%,$-1.2m,'+1.85%,$210.3k,0.09%,0.731,0.000,0.000,0.00%,'+0.0001%,0.00%,'+0.0001%,$778.70,$733.80,$44.90,0.0000,0.0001,6,1.52,60.30%,39.70%,1.55,60.85%,39.15%,-0.43,-0.25,-0.29,-0.24,,,,0.0073,-0.4912,2.7711k,901.2243,-5.9087,0.0002,66.0052,1.3440,172.8811,-0.0037,0.0062,-3.8291,-5.1719,369.0665k,-0.0005,0.5053,1.2743,0.7012,2.7711k,137.2179,0.5446,-4.6535,-3.2219,-0.0255,-0.0255,-51.3433,1.2743,1.0863,-0.5042,-12.3819,1.4162,-28.0007,-957.6059,0.3651,0.3693,0.5053,-28.0007,0.7458,-0.3658,-62.0019,0.0035,-957.6059,0.6077,0.5053,-5.8916,0.0001,-5.4947,-6.8922,0.5389,-12.6442
Zerebro ZEREBRO,$0.02,-0.01%,$17.5m,n/a,$3.5m,$11.8m,'+1.34%,$156.3k,-1.58%,$-189.9k,0.10%,3.406,0.677,0.199,'+0.0179%,'+0.0122%,'+0.0145%,'+0.0081%,$6.7k,$114.30,$6.6k,0.0019,0.0006,8,3.21,76.25%,23.76%,3.00,75.01%,24.99%,'+0.38,'+0.12,'+0.80,'+0.24,,,,15.4270,-2.6015,2.6701k,-100.0000,-1.2196,0.0015,17.0655,83.8437,-1.4057,-7.2490,1.7484,-14.3859,-96.4592,-39.2088,0.0384,-2.1894,0.7112,1.6134,2.6701k,863.9961,-7.1555,-25.6522,0.2043,-2.6233,-2.6233,-17.3597,0.7112,4.2271,3.9598,-26.7963,1.3989,-27.2494,-1.5058,0.1998,-0.5291,-2.1894,-27.2494,-1.4191,0.2083,-37.1582,-0.3215,-1.5058,0.8630,-5.3237,0.4178,0.0201,6.8106,1.2719,0.5938,-19.7600
Hooked Protocol HOOK,$0.12,'+23.34%,$33.5m,n/a,$16.9m,$8.4m,'+50.55%,$2.8m,'+44.33%,$2.6m,0.07%,0.496,0.250,0.505,-0.01%,0.00%,'+0.0100%,'+0.0100%,$26.3k,$15.3k,$11.0k,0.0016,0.0031,4,2.21,68.82%,31.19%,2.41,70.69%,29.32%,'+0.50,'+0.18,'+0.79,'+0.27,,,,2.9014,0.6449,2.0891k,622.0942,47.6552,0.0002,99.9998,-19.9741,-44.6786,-7.0260,-7.8981,102.4106,114.2746,636.0087,-0.0143,18.6539,1.1219,12.4728,2.0891k,261.7557,101.1793,n/a,30.9411,14.3409,14.3409,-60.5989,1.1219,9.7275,-26.7640,54.3058,6.8642,57.1927,198.3836,1.1514,25.0316,18.6539,57.1927,25.1760,-15.7364,-102.7392,8.0313,198.3836,44.1065,-47.1200,50.8745,0.1348,-11.3461,30.2086,0.4671,-4.2964
Aster ASTER,$1.82,'+7.67%,$3.0b,n/a,$2.1b,$982.8m,'+9.13%,$82.2m,'+1.19%,$11.5m,8.06%,0.471,0.325,0.692,'+0.0259%,'+0.0273%,'+0.0212%,'+0.0116%,$3.0m,$1.5m,$1.5m,0.0014,0.0030,9,3.15,75.93%,24.07%,3.32,76.85%,23.16%,n/a,-0.65,n/a,-0.54,,,,11.1060,-0.9915,1.5326k,-79.8580,11.3814,0.0000,73.7488,76.8980,-4.0084,-16.0518,0.8611,-0.8095,-76.8293,83.0046,0.0309,-1.6525,0.9643,1.3687,1.5326k,1.4530k,-2.2900,-25.5083,12.8670,-7.1032,-7.1032,-51.8561,0.9643,1.4413,2.5307,-1.1801,0.3438,-15.2480,-0.0980,n/a,-0.8367,-1.6525,-15.2480,0.5549,0.5740,-39.0511,-0.2642,-0.0980,1.3695,-2.4237,13.4131,0.1503,-7.6525,4.2816,0.5099,0.6109
Celestia TIA,$1.47,'+2.78%,$1.2b,n/a,$136.1m,$121.5m,'+2.42%,$2.9m,-1.18%,$-1.4m,1%,0.893,0.103,0.115,'+0.0093%,'+0.0097%,'+0.0096%,'+0.0077%,$108.2k,$46.4k,$61.8k,0.0008,0.0009,13,3.58,78.18%,21.82%,3.56,78.09%,21.91%,'+0.50,'+0.59,'+0.88,'+0.68,,,,5.9564,-0.9281,1.3491k,-94.1795,-0.2524,-0.0001,-0.0001,41.9327,-95.2174,-1.3197,0.9008,-47.2791,-88.2976,'-1.4306k,0.0038,-1.3446,0.9124,1.2404,1.3491k,-51.2619,-2.5635,-129.6215,16.0600,0.4109,0.4109,-97.1302,0.9124,2.0966,2.2589,-149.7772,1.4763,-104.1960,-10.3060,0.5662,-0.2266,-1.3446,-104.1960,-0.7662,0.0987,-6.7641,-0.1280,-10.3060,2.8945,-2.1805,1.4946,0.0402,-7.3446,3.8102,0.5252,-23.1049
HPOS10I HPOS10I,$0.09,-5.16%,n/a,n/a,$775.7k,$3.0m,-4.78%,$-149.1k,-4.08%,$-126.4k,0.02%,3.834,n/a,n/a,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$977.20,$700.50,$276.60,0.0013,0.0003,1,2.51,71.47%,28.53%,2.16,68.39%,31.61%,'+0.38,'+0.69,'+0.17,'+0.74,,,,0.5504,-2.1130,1.3364k,-69.5738,-8.2589,0.0357,17.5744,17.3661,-62.2238,-19.2194,1.3638,-2.8040,-18.7937,130.0838,0.0100,-1.2447,0.8078,2.2512,1.3364k,1.3606k,-0.5360,-29.2759,65.4462,28.6862,28.6862,-49.1923,0.8078,0.4075,2.6211,0.2458,0.9338,-4.5971,-4.8510,0.3207,-1.3063,-1.2447,-4.5971,-1.2286,0.6631,0.0000,-0.6474,-4.8510,0.3065,-3.1391,-5.7944,0.0923,7.7553,30.3740,0.4390,-28.7460
Flux FLUX,$0.20,'+4.19%,$78.3m,n/a,$2.2m,$3.0m,'+5.14%,$144.5k,-1.15%,$-34.4k,0.02%,1.323,0.038,0.029,-0.02%,'+0.0083%,'+0.0063%,'+0.0065%,$463.60,$190.00,$273.60,0.0002,0.0002,4,2.53,71.66%,28.34%,2.44,70.97%,29.04%,'+0.53,'+0.89,'+0.85,'+0.94,,,,1.4871,-1.3561,1.3001k,-100.0000,-2.1349,-0.0029,-0.0079,57.3311,266.1783,3.1958,0.3094,-42.3525,-99.3672,'-1.5352k,-0.0146,-0.7012,0.7285,0.7791,1.3001k,-37.0004,-1.0103,-100.2970,3.9728,8.0896,8.0896,165.8371,0.7285,1.5073,1.0176,-149.4006,0.7561,-90.9024,-17.8646,0.6617,-0.2745,-0.7012,-90.9024,-0.5778,0.1246,-144.5115,-0.1501,-17.8646,0.6342,-0.8013,4.3804,0.0396,-6.7012,-1.7418,0.5824,-82.4040
MultiversX EGLD,$13.87,'+3.15%,$398.1m,n/a,$14.5m,$16.2m,'+7.65%,$1.2m,'+0.03%,$5.5k,0.13%,1.122,0.041,0.036,'+0.0087%,'+0.0093%,'+0.0099%,'+0.0100%,$13.1k,$11.1k,$2.0k,0.0009,0.0008,9,2.80,73.68%,26.32%,2.86,74.10%,25.90%,'+0.57,'+0.72,'+0.92,'+0.84,,,,5.4713,-2.2262,1.2219k,396.2337,1.9440,0.0011,14.7756,15.9391,-19.0569,-0.6733,0.5760,-13.6673,-29.0241,-254.7187,0.0060,-0.6220,0.9208,0.8154,1.2219k,69.6324,-0.6346,-8.8431,14.3636,7.8783,7.8783,-8.8468,0.9208,1.0224,1.2043,172.4762,1.2371,110.5512,-2.1614,0.5388,-0.0494,-0.6220,110.5512,1.0618,-0.0307,8.2760,-0.0801,-2.1614,1.8022,-0.9611,5.2874,0.0414,-6.6220,7.1983,0.5422,25.0521
Avail AVAIL,$0.01,'+3.17%,$46.3m,$140.3m,$299.0k,$1.3m,'+3.11%,$39.2k,-1.64%,$-21.7k,0.01%,4.354,0.028,0.006,'+0.0100%,'+0.0100%,'+0.0100%,'+0.0100%,$1.0k,$1.0k,$n/a,0.0034,0.0008,2,2.54,71.78%,28.22%,2.54,71.73%,28.27%,'+0.59,'+0.07,'+0.57,'+0.20,,,,11.3258,-3.3180,1.1758k,-18.3920,1.7245,-0.0300,94.1054,59.3220,-12.8549,-5.7400,0.4046,5.2357,-53.6713,-149.0935,0.0100,-1.0524,0.8432,1.2272,1.1758k,21.5923,-1.1601,n/a,-11.3178,-2.7634,-2.7634,-5.6667,0.8432,1.1138,1.4675,0.8893,0.2411,-4.7350,0.6576,0.0649,-0.7464,-1.0524,-4.7350,-1.0240,0.4079,0.0000,-0.3399,0.6576,0.7105,-1.2247,5.3280,0.0395,-7.0524,-7.0955,0.6245,-77.7619
Tether Gold XAUT,"$3,878.18",'+0.09%,$1.5b,n/a,$62.9m,$71.2m,-1.15%,$-829.2k,'+0.91%,$644.0k,0.58%,1.131,0.049,0.043,'+0.0059%,'+0.0054%,'+0.0079%,'+0.0099%,$16.9k,$4.8k,$12.1k,0.0003,0.0002,7,1.62,61.80%,38.20%,1.48,59.69%,40.31%,'+0.15,'+0.92,-0.49,'+0.90,,,,13.2685,1.4528,1.0461k,1.1155k,1.1611,0.0003,99.9979,-10.8700,45.0047,-0.5976,0.0310,12.5016,23.3920,4.6618k,0.0056,1.0669,1.3026,1.2862,1.0461k,n/a,2.0299,-17.6302,4.1676,2.9958,2.9958,61.0917,1.3026,2.0914,-1.0465,16.8970,2.0417,18.9111,2.1453,0.6519,1.3819,1.0669,18.9111,1.1169,-1.6530,-17.0997,-0.2666,2.1453,1.2346,1.0665,-0.9647,0.0067,-4.9331,1.2342,0.5013,31.0877
